response,contrast,estimate,SE,df,t.ratio,p.value
no_of_nodes,n100 s25 - n150 s35,-0.38878326996197815,1.2881186093562833,46,-0.30182257063754897,0.9999999999740188
no_of_nodes,n100 s25 - n200 s35,0.8612167300380222,1.2881186093562835,46,0.6685849608743727,0.999997911527538
no_of_nodes,n150 s25 - n200 s25,-0.7233840304182508,1.2858025416582688,46,-0.562593405271481,0.9999998025666959
no_of_nodes,n150 s25 - n0 s35,0.9999999999999982,1.2521348937042447,46,0.7986359976293409,0.9999783884880162
no_of_nodes,n150 s25 - n100 s35,0.5826996197718621,1.2618177665079346,46,0.4617937987863939,0.9999999877061838
no_of_nodes,n150 s25 - n150 s35,-0.0560836501901153,1.2774688176660451,46,-0.04390216764161882,1
no_of_nodes,n150 s25 - n200 s35,1.1939163498098853,1.277468817666045,46,0.934595297591051,0.9998461119199995
no_of_nodes,n200 s25 - n0 s35,1.723384030418249,1.2858025416582686,46,1.34031779731563,0.9918382796957221
no_of_nodes,n200 s25 - n100 s35,1.3060836501901127,1.2774688176660451,46,1.022399632874286,0.9995529427724441
no_of_nodes,n200 s25 - n150 s35,0.6673003802281355,1.2618177665079342,46,0.5288405330310743,0.9999999166427602
no_of_nodes,n200 s25 - n200 s35,1.917300380228136,1.2618177665079344,46,1.5194748648485445,0.9742039839427856
no_of_nodes,n0 s35 - n100 s35,-0.4173003802281362,1.2618177665079344,46,-0.33071366666758073,0.999999999900766
no_of_nodes,n0 s35 - n150 s35,-1.0560836501901136,1.277468817666045,46,-0.826700139827753,0.999966423863505
no_of_nodes,n0 s35 - n200 s35,0.19391634980988676,1.2774688176660447,46,0.15179732540491667,1
no_of_nodes,n100 s35 - n150 s35,-0.6387832699619773,1.2881186093562838,46,-0.49590407693993244,0.999999966244383
no_of_nodes,n100 s35 - n200 s35,0.6112167300380233,1.2881186093562835,46,0.47450345457198934,0.9999999819190044
no_of_nodes,n150 s35 - n200 s35,1.2500000000000007,1.2521348937042445,46,0.9982949970366787,0.9996617913462634
no_of_pods,n0 s0 - n100 s0,22.26520912547529,9.83836465006889,46,2.263100618589024,0.650544510302298
no_of_pods,n0 s0 - n150 s0,11.715145754119149,9.713279641805201,46,1.2060957973142328,0.9971997478380223
no_of_pods,n0 s0 - n200 s0,16.015209125475284,9.838364650068886,46,1.6278324391404977,0.9543935130006851
no_of_pods,n0 s0 - n0 s15,-7.0196451204055705,10.101397795803761,46,-0.6949181947197064,0.9999964982668719
no_of_pods,n0 s0 - n100 s15,11.38498098859316,9.851832643574827,46,1.1556206241503932,0.9982273135919203
no_of_pods,n0 s0 - n150 s15,13.550063371356142,9.708728319583374,46,1.3956578992971151,0.9879902815201624
no_of_pods,n0 s0 - n200 s15,11.265209125475291,9.838364650068886,46,1.1450286227596183,0.9983962583498156
no_of_pods,n0 s0 - n0 s25,20.765209125475288,9.838364650068886,46,2.1106362555213782,0.749120801383812
no_of_pods,n0 s0 - n100 s25,7.800063371356155,9.708728319583377,46,0.8034073170656889,0.9999766741980809
